,SubjectID,Document1,Document2,Similarity,Time,SBert
0,1,15,4,1,25.417,0.038636304438114166
1,1,8,7,4,9.764,0.25019532442092896
2,2,17,1,1,56.061,0.11225073039531708
3,2,19,1,1,39.767,0.0190021563321352
4,2,20,1,1,37.344,0.08869075030088425
5,2,25,1,1,14.371,0.14443951845169067
6,2,33,1,5,7.962,0.5729367136955261
7,2,40,1,1,22.262,0.078664630651474
8,2,50,1,4,15.172,0.32890117168426514
9,2,4,2,1,37.805,0.05786849185824394
10,2,15,2,1,35.301,0.09812170267105103
11,2,36,2,1,20.6,0.1553477644920349
12,2,12,3,3,16.023,0.26474928855895996
13,2,14,3,2,51.434,0.18022389709949493
14,2,18,3,4,45.145,0.303611695766449
15,2,21,3,1,35.581,0.11694961786270142
16,2,37,3,2,15.973,0.43509265780448914
17,2,21,4,3,8.432,0.47822776436805725
18,2,22,4,1,5.558,0.07081946730613708
19,2,4,5,2,62.469,0.09438026696443558
20,2,8,5,1,37.413,0.16854612529277802
21,2,14,5,1,35.4,0.031168710440397263
22,2,37,5,1,32.977,0.24197076261043549
23,2,10,6,1,4.537,-0.10912994295358658
24,2,23,6,1,4.557,0.1148863136768341
25,2,37,6,1,14.201,0.013855082914233208
26,2,4,7,4,20.119,0.39665406942367554
27,2,6,7,1,3.044,0.022096578031778336
28,2,10,7,2,52.986,0.21574856340885162
29,2,19,7,1,25.958,0.06533527374267578
30,2,32,7,1,27.71,0.17961782217025757
31,2,33,7,1,126.872,-0.013705366291105747
32,2,36,7,3,39.016,0.3991073668003082
33,2,37,7,1,54.078,0.24105204641819
34,2,46,7,1,16.513,0.08298463374376297
35,2,11,8,3,71.763,0.23068101704120636
36,2,31,8,1,5.778,0.2712542414665222
37,2,38,8,1,40.208,0.013287526555359364
38,2,21,9,1,23.804,0.046146415174007416
39,2,23,9,1,7.531,0.013748050667345524
40,2,38,9,1,15.132,0.1231645867228508
41,2,49,9,1,46.386,0.015965336933732033
42,2,50,9,1,31.916,0.03235920891165733
43,2,21,10,3,13.189,0.3880250155925751
44,2,25,10,1,21.48,0.04390348494052887
45,2,31,10,1,11.937,0.11306466162204742
46,2,42,10,3,3.985,0.18111838400363922
47,2,49,10,1,21.541,-0.043425556272268295
48,2,13,11,1,19.899,0.06423521041870117
49,2,19,11,1,11.277,0.060498375445604324
50,2,25,11,1,5.448,0.11750094592571259
51,2,35,11,1,13.39,0.03832630068063736
52,2,44,11,3,5.057,0.33694568276405334
53,2,45,11,1,21.181,0.2313288152217865
54,2,49,11,3,13.409,0.11563824862241745
55,2,16,12,4,9.413,0.5335136651992798
56,2,6,13,1,44.414,0.0865379124879837
57,2,30,13,1,15.522,0.2159254550933838
58,2,40,13,1,22.322,0.020004913210868835
59,2,43,13,1,31.044,-0.013822493143379688
60,2,50,13,1,25.437,0.20390655100345612
61,2,4,14,1,20.74,0.09369713813066483
62,2,10,14,1,21.371,0.012898814864456654
63,2,20,15,1,6.61,0.01974630355834961
64,2,26,15,1,28.301,0.04214928299188614
65,2,36,15,1,10.054,0.05473325401544571
66,2,4,16,3,42.592,0.32798370718955994
67,2,29,16,2,25.196,0.1739742010831833
68,2,38,16,1,7.09,0.1206478476524353
69,2,48,16,1,19.819,0.28639692068099976
70,2,50,16,1,22.523,0.14830657839775085
71,2,12,17,1,10.675,0.18039239943027496
72,2,26,17,1,18.106,-0.08384227752685547
73,2,41,17,1,14.881,-0.020905639976263046
74,2,43,17,1,20.3,0.06826119124889374
75,2,49,17,1,12.408,0.05362477898597717
76,2,50,17,1,19.839,0.1369650512933731
77,2,8,18,1,6.459,0.07720788568258286
78,2,10,18,1,25.537,0.13240329921245575
79,2,25,18,3,9.023,0.1311430186033249
80,2,2,20,1,4.587,0.14687594771385193
